Fine_Mode_AOD,Coarse_Mode_AOD,FineModeFraction,Angstrom_Exponent(AE),AI,AT,CO_MF,HCHO_Amount,NO2_Column,Scattering_angle,SO2_Column,SSA,Aerosol_Type
0.132909,0.57824,0.187182,0.235075,1.56,298.828064,134.461133,2.20E+15,3.20E+15,95.9299979,0.16,0.93,DU
0.134424,0.410088,0.24968,0.40729,0.61,298.780487,143.969569,3.37E+15,2.77E+15,152.887329,0.64,0.93,DU
0.168406,0.407393,0.291765,0.521229,1.32,300.280273,136.920221,1.88E+15,4.66E+15,100.696766,0.6,0.91,DU
0.194062,0.191358,0.504784,0.852012,0.38,299.920288,137.064272,6.22E+15,2.12E+15,147.265843,0.29,0.96,MX
0.075862,0.161983,0.321865,0.405983,0.31,298.283112,128.090986,3.67E+15,1.36E+15,147.286078,-0.07,0.94,DU
0.040981,0.087691,0.317948,0.549839,0.57,299.610199,127.713797,5.77E+14,2.01E+15,98.9221188,0.06,0.92,DU
0.106033,0.403153,0.208164,0.225349,1.01,297.896606,146.055226,1.65E+15,2.01E+15,139.187899,0.15,0.92,DU
0.060936,0.232668,0.207567,0.256658,0.58,298.875214,139.999276,3.14E+15,2.06E+15,158.944714,0.36,0.95,UN
0.04418,0.0818,0.35562,0.677127,0.42,299.407349,136.00066,2.51E+15,2.63E+15,104.006502,0.25,0.94,DU
0.091057,0.531366,0.153224,0.100303,1.22,299.610413,126.033605,3.60E+15,2.25E+15,147.498316,0.16,0.95,UN
0.07166,0.167303,0.299834,0.522495,0.65,299.4375,130.910056,3.77E+15,2.50E+15,165.92153,0.57,0.94,DU
0.079675,0.127312,0.380261,0.719671,0.5,301.578735,138.700647,3.76E+15,3.58E+15,150.118969,0.06,0.93,DU
0.129024,0.166798,0.43527,0.788612,0.41,299.313812,148.891913,-6.82E+14,4.05E+15,143.787529,0.34,0.93,MX
0.070874,0.19169,0.265625,0.350511,0.39,300.500549,130.792409,2.07E+15,4.52E+15,102.529998,0.61,0.95,UN
0.081974,0.203154,0.287562,0.393929,0.75,299.954956,139.729235,1.77E+15,2.99E+15,164.991941,0.08,0.94,DU
0.071905,0.301051,0.193374,0.09661,0.3,299.341888,129.372857,4.41E+15,1.31E+15,146.59572,-0.02,0.91,DU
0.063355,0.210443,0.230281,0.310121,0.75,300.312164,135.494505,3.74E+15,2.10E+15,105.424222,0.2,0.92,DU
0.045655,0.109713,0.294089,0.44968,0.74,299.156921,134.587463,1.93E+15,1.59E+15,170.604497,0.22,0.94,DU
0.057276,0.122846,0.318484,0.528805,0.48,297.907227,143.17689,1.22E+15,1.43E+15,147.704702,-0.08,0.93,DU
0.061893,0.135313,0.313656,0.44221,0.45,301.985321,146.096714,1.06E+15,9.22E+14,105.469998,0.15,0.9,DU
0.096528,0.276613,0.258983,0.167241,0.95,299.437714,154.572393,3.55E+15,8.19E+14,170.519185,-0.09,0.92,DU
0.032909,0.043798,0.435353,0.855888,0.23,300.54837,139.537782,4.25E+14,1.35E+15,110.258746,0.13,0.91,MX
0.150844,0.211483,0.416384,0.841762,1.66,304.030914,131.013541,-1.85E+16,2.86E+15,147.478281,0.57,0.96,MX
0.105192,0.256802,0.290728,0.459426,1,301.218628,119.676593,-4.15E+14,2.59E+15,150.634244,0.17,0.93,DU
0.180734,0.187631,0.487962,1.007738,0.35,303.061951,136.846621,4.45E+15,3.89E+15,107.609998,0.43,0.94,MX
0.192736,0.203584,0.48474,1.018917,0.86,303.250427,137.558722,2.16E+15,2.96E+15,174.563727,0.57,0.93,MX
0.171122,0.231901,0.417777,0.789442,0.57,304,145.519152,6.18E+14,3.14E+15,112.393711,0.27,0.92,MX
0.118287,0.314626,0.272771,0.362473,0.44,305.292511,134.26736,3.77E+15,3.81E+15,143.54277,0.2,0.93,DU
0.098198,0.279897,0.259962,0.312143,1.42,302.734314,128.267456,2.88E+15,1.40E+15,164.231647,0.11,0.91,DU
0.058289,0.098509,0.377836,0.677343,0.43,304.90625,114.03281,4.47E+14,1.65E+15,109.631695,0.09,0.92,DU
0.051174,0.139846,0.269079,0.354225,0.77,304.528046,129.123063,3.94E+15,2.03E+15,172.174409,0.05,0.95,UN
0.113237,0.356318,0.238534,0.32754,0.86,301.877655,132.120731,2.99E+14,3.25E+15,152.219068,0.2,0.93,DU
0.101412,0.264115,0.279256,0.437529,0.86,302.683685,123.708856,1.85E+15,4.47E+15,108.755015,0.42,0.94,DU
0.148815,0.821185,0.15305,0.142752,2.56,305.15625,130.326953,2.05E+15,2.48E+15,113.461114,0.08,0.93,DU
0.073615,0.330565,0.183435,0.195139,0.46,302.232361,125.450534,4.05E+15,1.70E+15,142.697735,0.13,0.94,DU
0.08893,0.435389,0.172375,0.1503,1.57,305.434845,127.688458,2.47E+15,2.43E+15,164.206418,0.04,0.96,UN
0.113738,0.403406,0.221461,0.264279,1.48,300.219971,123.053868,2.99E+15,3.34E+15,110.13666,0.13,0.93,DU
0.137588,0.469776,0.227488,0.262138,1.44,304.154388,128.432433,3.61E+15,2.81E+15,170.868563,0.52,0.94,DU
0.132654,0.567312,0.191193,0.047471,0.61,304.382202,119.970915,4.43E+15,2.66E+15,145.69042,0.03,0.94,DU
0.167324,0.753623,0.182632,0.003802,2.82,301.1875,131.89856,-2.59E+15,2.50E+15,151.838927,0,0.94,DU
0.121718,0.524202,0.188306,0.037276,1.08,307.217773,114.619433,3.74E+15,2.35E+15,108.949998,0.02,0.94,DU
